price,location,listingid,updatedprice,title,reviewCount,rating,type,photos
848,Hempstead,14,0,quas sint rerum,102,4.79,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
549,Gravois Mills,15,0,impedit consequatur in,248,4.03,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
900,Waltonville,16,0,architecto quisquam laudantium,93,3.98,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
621,Cross Junction,17,0,cumque debitis dolor,198,3.07,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
464,College Station,18,0,nesciunt reiciendis totam,54,4.39,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1104,Lake Elsinore,19,0,et tempore est,297,4.35,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
175,Pompton Plains,20,0,laudantium praesentium officia,285,4.14,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
874,La Salle,21,0,et ut pariatur,269,4.45,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
868,Donaldsonville,22,0,nobis nulla ut,230,3.59,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
364,Old Westbury,23,0,est voluptatum et,96,4.43,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
765,San Juan Capistrano,24,0,adipisci iusto iure,130,4.44,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
594,Edmeston,25,0,quas tempora animi,157,3.41,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
997,Mendham,26,0,sequi perspiciatis et,66,4.97,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
941,Central Falls,27,0,debitis quod amet,220,4.81,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
540,Lanoka Harbor,28,0,vel laudantium molestiae,273,4.11,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
415,Hazleton,29,0,quia aspernatur minus,292,4.67,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
633,Mattapan,30,0,at corporis repellat,289,3.26,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
723,Sharpsburg,31,0,amet ut est,291,4.54,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
596,Donora,32,0,unde quos et,24,4.11,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
45,City of Saint Marys,33,0,modi quos consequatur,70,3.40,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
851,Ninnekah,34,0,eaque voluptatem in,7,3.97,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
430,Vestal,35,0,nulla consequatur officia,181,3.39,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
932,Nixa,36,0,neque ex ipsam,274,3.00,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
185,Wilsonville,37,0,aperiam hic dolorem,232,3.44,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
544,Butner,38,0,eum fugit aut,178,4.70,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
283,Salt Rock,39,0,necessitatibus nostrum aut,116,3.64,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
617,Coatesville,40,0,laboriosam sequi laboriosam,219,4.70,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
506,Crane,41,0,impedit aut ipsum,286,4.07,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
910,Pioneer,42,0,sunt qui ipsum,108,4.39,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
92,Martell,43,0,placeat ut quos,28,3.86,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1041,Lunenburg,44,0,ducimus ullam non,241,4.86,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
322,Corbin,45,0,porro dolorum dolorem,39,4.55,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
427,Rankin,46,0,inventore quos expedita,201,3.86,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
165,Lombard,47,0,ut excepturi et,273,4.52,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
62,Savanna,48,0,voluptatem repellat deleniti,73,3.63,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1054,Slater,49,0,fuga eos veniam,233,4.56,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
529,Patchogue,50,0,inventore vero rerum,116,3.53,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
651,Central Islip,51,0,officiis autem commodi,29,4.96,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1115,Jerusalem,52,0,minus qui dolor,109,3.45,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
827,East Branch,53,0,eligendi ipsa voluptatem,30,4.97,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
171,Susquehanna,54,0,earum eos nulla,29,4.95,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1087,Grand Terrace,55,0,impedit distinctio exercitationem,223,3.75,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
942,La Junta,56,0,est illo molestiae,133,4.02,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
707,Pinehill,57,0,laudantium qui sapiente,258,4.06,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
244,Rapid City,58,0,rem distinctio optio,18,3.61,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
99,West Sunbury,59,0,sint totam mollitia,129,3.96,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1153,Goleta,60,0,iste delectus reiciendis,120,4.37,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
372,North Salem,61,0,veritatis quod libero,173,3.90,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
651,North Royalton,62,0,sed maxime omnis,156,4.81,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
482,Wewahitchka,63,0,quis velit sed,102,3.40,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
439,Rockwall,64,0,tempore nihil quisquam,75,4.05,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
441,Blountstown,65,0,minus numquam et,5,3.30,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
178,Edgerton,66,0,sed et molestias,219,3.32,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
314,Marengo,67,0,molestiae sapiente eligendi,267,3.92,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
520,Hastings,68,0,maxime tempora minima,297,4.06,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
